Small Cap	It's a more aerodynamic style of cap.		Island Trader on Mondays in exchange for 30 Taro Roots.										0	
Skeleton Mask	The red eyes are glowing mysteriously.		Monster Eradication Goal - Defeat 50 Skeletons.		5 attack, 2 red glow, -2 defense, 1.2x combat xp, lewis dissaproves, 2x crit damage			Spook					1	
Santa Hat	Celebrate the magical season.		Reach a 5-heart friend level with 10 people.		50 health, (winter: 1 speed, 1.17 popularity, 25% dodge)			Jolly					1	
Sailor's Cap	It's fresh and starchy.		Win the fishing competition at the Festival of Ice.		10% Willy, (ocean:2 fishing, 1 speed, 1 still stamina) (winter:1 speed, 2fishing)								1	
Red Fez	A unique hat made popular by the famous merchant pig.		Purchase for 8,000g from the Traveling Cart (10% chance to be sold).										0	
Red Cowboy Hat	An eye-catching cowboy hat in red suede.		Skull Cavern treasure chests (~3.8% chance).		Autopet all, Loving Rancher								1	
Radioactive Goggles	Doesn't actually provide any protection from radiation.		Tailoring		(Dangerous Mines: 5 mining, 3 defense, 2 speed, 3 attack, 2 luck)								1	
Raccoon Hat	A classic hat from the old frontier days.		Fulfill the third request from the Raccoon at the Giant Stump.		Professional Forager, 3 Foraging								1	
Qi Mask	???		Tailoring										0	
Pumpkin Mask	This must have been a pretty big pumpkin once...		Tailoring		 slime charmer ring,(On Abigail talk: +50 friendship), 2 glow (fall: 35 health, 3 attack, 3 defense)								1	
Propeller Hat	A goofy hat with a propeller on top.		Tailoring									 	0	
Polka Bow	This one's sure to be turn heads.		Complete 10 'Help Wanted' requests.		2 luck, 1.17 popularity, 20 stamina (underground: -1 luck)								1	
Plum Chapeau	Looks alright.		Cook 25 different recipes.										0	
Pirate Hat	A captain's hat with a horrible skull on the front.		Tailoring		FishingChest+, (ocean: 2 fishing, 1 speed)								1	
Pink Bow	This huge bow makes quite a statement!		Purchase for 10,000g from the Dwarf Shop in the Volcano Dungeon (25% chance to be sold).										0	
Party Hat	A goofy red hat that makes any celebration more fun.		Tailoring		1.17 Popularity								1	
Party Hat	A goofy blue hat that makes any celebration more fun.		Tailoring										0	
Party Hat	A goofy green hat that makes any celebration more fun.		Tailoring										0	
Paper Hat	It's made out of special paper that won't disintegrate in the rain.		Reach Ginger Island.										0	
Panda Hat	A lovely panda hat.		WeGame [2] exclusive content; unobtainable otherwise										0	
Pageboy Cap	For some reason, it makes you want to sell newspapers.		Read every book.		1 attack, speed, defense, fishing, combat, foraging, farming, mining, 1.1x combat xp, foraging xp, fishing xp, farming xp, mining xp								1	
Official Cap	Looks like it belonged to a postman or policeman. Either way, it's still very soft and smells okay.		Catch 24 different fish.		4 attack, 1.17 popularity								1	
Mystery Hat	Made from the leftovers of a Mystery Box.		Mystery Boxes or Golden Mystery Boxes.					Top Top Hat					0	
Mushroom Cap	It smells earthy.		1% chance of obtaining when chopping down a Mushroom Tree.		-10 speed, 20 defense, 3 health regen, 90 health, 15 Spikey								1	
Mummy Mask	A large mummy mask... frightening!		Purchase for  120 from the Calico Egg Merchant at the Desert Festival.		Autorevive, 50 health, -1 speed, 3 purple glow								1	
Mr. Qi's Hat	A replica of Mr. Qi's iconic hat.		Purchase for  5 in Qi's Walnut Room.										0	
Mouse Ears	Made from synthetic fibers.		Reach a 10-heart friend level with someone.		2 speed, -5 def, 1.15x foraging xp								1	
Magic Turban	It's shimmering with prismatic energy		Desert Trader in exchange for 333 Omni Geodes, even days.		protective ring, (desert:100 energy, 0.5 stamina regen, 0.5 health regen, 1 speed)								1	
Magic Cowboy Hat	It's shimmering with prismatic energy		Desert Trader in exchange for 333 Omni Geodes, odd days.		Autopet all, Loving Rancher, 1.17 popularity			Prismatic					1	
Lucky Bow	The middle is made of solid gold.		Earn 50,000g.		1 luck								1	
Logo Cap	A pink cap with a sleek profile.		Tailoring										0	
Living Hat	It absorbs moisture from your scalp. No watering needed!		0.001% chance to find while cutting weeds. 0.01% chance of dropping from Wilderness Golems.		2 speed, Autowater, 2 foraging, 10 spikey, 1.2x foraging xp, (underground: -4 speed)			One With Nature					1	
Leprechaun Hat	The previous owner must've had a big head for a Leprechaun.		Drops from the pot of gold by the rainbow next to the Abandoned House on Spring 17th.		2 luck			Season of Luck					1	
Laurel Wreath Crown	A garland of leaves shaped into a lovely crown.		Randomly obtained from Emily's outfit services at the Desert Festival.		30 spikey, yoba ring, autorevive, autowater			Vigil Ascension					1	
Knight's Helmet	It looks just like the real thing!		Monster Eradication Goal - Defeat 50 Pepper Rex.		1.45x attack, 2 defense, (underground: 1 speed)								1	
Junimo Hat	To honor our little buddies...		Reach the summit.		5 luck								1	
Joja Cap	An official Joja Cap. Made from 100% polyester.		Randomly obtained from Emily's outfit services at the Desert Festival.		15% discount joja market								1	
Jester Hat	Put your inner clown on display.		See a movie.		1.17 Popularity, 20 magnetism, lewis dissaproves (hes scared of clowns)			Clown Around					1	
Iridium Pan (hat)	You place the iridium pan on your head...		Place the Iridium Pan in the hat slot next to the farmer sprite in the inventory menu.		1 speed, 2 luck								1	
Infinity Crown	It's made from an exotic metal you've never seen before.		Obtain the most powerful weapon.		10 attack, 10 combat			Ruler of Infinity					1	
Hunter's Cap	The wool lining should stay warm deep into the forest.		Upgrade your house to the maximum size.		1.3x crit chance, 1 defense, 2 combat, 1.15x combat xp, (healthy: 2 speed)								1	
Hard Hat	Keep your dome in one piece.		Monster Eradication Goal - Defeat 30 Duggies.		2 defense, 5% construct discount, 10% robin discount, protection ring								1	
Hair Bone	A prehistoric version of the hair bow.		Tailoring		Monster Musk Effect								1	
Green Turban	A green silk turban with a gold ornament on the front.		Desert Trader in exchange for 50 Omni Geodes.		 protective ring, (desert:150 energy, 2 stamina regen)								1	
Governor's Hat	A replica of the Governor's iconic hat.		Delight the Governor.		60 health, -2 speed, 1.17x popularity, 2 still health regen								1	
Good Ol' Cap	A floppy old topper with a creased bill. Looks like it's been through a lot.		Earn 15,000g.										0	
Golden Mask	A faithful recreation of the Calico Desert relic!		Tailoring		25% dodge			Miderian Finale					1	
Golden Helmet	It's half of a golden coconut.		Golden Coconuts (5% chance on opening).		(island: 2 speed, 3 luck) (underground: -1 speed, -1 luck)								1	
Gold Pan (hat)	You place the gold pan on your head...		Place the Gold Pan in the hat slot next to the farmer sprite in the inventory menu.		1 speed, 1 luck								1	
Goggles	These will make you look very safe.		Tailoring										0	
Goblin Mask	Freak out the neighborhood with this creepy mask. Rubber ear joints for effect.		Ship every item.		3 speed, 1 attack, -20 defense, burglar ring (undergound: 2 speed)								1	
Gnome's Cap	This gnome had a very large head.		Craft every Item.		50% clint discount, 4 defense			Why Go Alone?					1	
Gil's Hat	It's the same hat that Gil wears.		Obtained as a reward for submitting an egg rating of 25-54 to Gil during Desert Festival.		3 attack, 2 combat, 1.3x combat xp, ParryBoost (Melee Sword: 3 Attack, 2 Combat))			Decorated Past					1	
Garbage Hat	It's a garbage can lid 'upcycled' into a hat...		0.2% chance to find while checking Garbage Cans in Town, only after checking 20 cans.		Lewis dissaproves, 1.001x foraging xp (lol)			Hidden Treasure					1	
Frog Hat	A slimy friend that lives on your dome.		Fish in the Gourmand Frog's cave on Ginger Island.		Frog companion, (wet weather:1.35x popularity, 4 speed)								1	
Forager's Hat	It's a forager's delight.		Tailoring		3 foraging, 1.15x foraging xp								1	
Floppy Beanie	A warm hat with a looser fit.		Tailoring		(winter:40 health, 50 energy, 1 speed)								1	
Flat Topped Hat	An old style of hat once considered very fashionable.		Tailoring										0	
Fishing Hat	The wide brim keeps you shaded when you're fishing on the riverbank.		Tailoring		3 fishing			Running River					1	
Fedora	A city-slicker's standard.		Purchase for 500 at the Stardew Valley Fair.										0	
Fashion Hat	A fashionable hat with a feather in the brim.		Tailoring										0	
Eye Patch	You can't tell if it's real or just from a costume shop.		Catch every fish.		3xFishingchest, keep chests, 4 fishing, (fall: popularity, 9 attack, Bombey 15, 50 health)								1	
Emily's Magic Hat	Made with love by Emily. It's 100% organic!		Obtained in Emily's 14-heart cutscene.		10 rainbow glow, (green rain: 5 luck, 5 speed, 5 foraging,1.51x Popularity)			Truly Magic					1	
Elegant Turban	A fine black silk turban with gold trim.		Earn all other Achievements.		5 speed, autorevive, protective ring, 3 stamina regen,(desert:200 energy, 200 health, 25 health regen)								1	
Earmuffs	Keep your ears toasty. Lined with artisanal velvet from Castle Village.		Reach a 5-heart friend level with 20 people.		5 immunity, sturdy ring, (Winter: 10 health, 5 immunity, 2 speed)								1	
Dinosaur Hat	A hat fashioned to look like a small dinosaur.		Tailoring		50 health,  1.3x knockback (Low health: 2 attack),(Critical health: 2 speed) 			Eonic Tribute					1	
Deluxe Pirate Hat	Only the most infamous pirate could pull off this look.		Volcano Dungeon rare chests (~11.1% chance).		FishingChest+, (island: keepchests, 3 fishing, 1 speed)								1	
Deluxe Cowboy Hat	A cowboy hat with a more extreme shape.		Island Trader on Fridays in exchange for 30 Taro Roots.		Autopet all, Loving Rancher								1	
Delicate Bow	Little pink jewels glisten as you examine it.		Cook 10 different recipes.										0	
Dark Velvet Bow	A big, floppy bow made of dark velvet.		Purchase for  75 from the Calico Egg Merchant at the Desert Festival.		1.17 Popularity, (While holding shadow dagger: 50 energy sapping, (On krobus talk: 50 friendship))			No Will To Break					1	
Dark Cowboy Hat	A cowboy hat in fashionable black.		Skull Cavern treasure chests (~3.8% chance).		Autopet all, Loving Rancher								1	
Dark Ballcap	It fits perfectly on your head.		Randomly obtained from Emily's outfit services at the Desert Festival.		7 Mining, Mercenery, 7 Combat, Burglar Ring			Street Smart					1	
Daisy	A fresh spring daisy to put in your hair.		Craft 15 different items.										0	
Cowpoke Hat	For dairy experts.		Ship 15 of each crop.		Autopet all, Loving Rancher, 1.17 popularity, 1 speed (farm: 5 farming)								1	
Cowgal Hat	The band is studded with fake diamonds.		Ship 300 of one crop.		Autopet all, Loving Rancher			Slayyyy					1	
Cowboy Hat	The leather is old and cracked, but surprisingly supple. It smells musty.		Complete the museum collection.		Autopet all, Loving Rancher, 1.17 popularity, 1 speed (farm: 2 speed)			Prairie Friend					1	
Copper Pan (hat)	You place the copper pan on your head...		Place the Copper Pan in the hat slot next to the farmer sprite in the inventory menu.		1 speed								1	
Cool Cap	It looks really faded, but it used to be a vibrant blue.		Earn 250,000g.										0	
Cone Hat	A curiosity from a distant land.		Purchase from the Magic Shop Boat at the Night Market.		(Spring: (Storm: (Critical health: (4pm-4:10pm: (While holding Ossified Blade: 100 speed, 3.5x popularity 100 luck)))))								1	
Chicken Mask	You'll be sure to get them grinning with this one.		Complete 40 'Help Wanted' requests.		Autopet all, Loving Rancher, 2 farming (On farm: 4 speed)			Squawk Proud					1	
Chef Hat	The traditional hat worn by a head chef.		Cook every recipe.		3 luck, 2 speed, 1.17 popularity, -5 defense			Michelin Star					1	
Cat Ears	Whiskers included.		Reach a 10-heart friend level with 8 people.		2 speed, 2 fishing, 1.3x crit chance, 1.3x crit damage, 20% dodge, ParryBoost, -20 defense, FishingBarBoost (While holding Meowmere: 100x crit chance, -50 defense, 10 underground speed)								1	
Butterfly Bow	This one is very soft.		Reach a 5-heart friend level with someone.		3% Fairy Event chance								1	
Bucket Hat	A simple hat with a short brim.		Obtained as a reward from the Trout Derby.		FishingBarBoost, (summer: 2 fishing, 1.2x fishing xp)								1	
Bridal Veil	The traditional headwear for a bride.		Tailoring		(Wedding: 4 speed, 6 luck, Autorevive)(Underground: -1 speed)								1	
Bowler Hat	Made from smooth felt.		Earn 1,000,000g.										0	
Bluebird Mask	Wear this to look just like your favorite island trader.		Island Trader on Wednesdays in exchange for 30 Taro Roots.		Nauseous, 2 speed								1	
Blue Ribbon	A lovely ribbon that sits behind the head.		Get 1st place in the Stardew Valley Fair competition.										0	
Blue Cowboy Hat	A denim cowboy hat in cool blue.		Skull Cavern treasure chests (~3.8% chance).		Autopet all, Loving Rancher								1	
Blue Bow	This huge bow makes quite a statement!		Purchase for  50 from the Calico Egg Merchant at the Desert Festival.										0	
Blue Bonnet	Harken back to simpler times with this prairie bonnet.		Donate 40 different items to The Museum.		(While holding hoe: 1 speed, -10 defense, 4 luck, 10 magetism)								1	
Blobfish Mask	Just as spongy as the real thing!		Tailoring		-10 defense, -10 attack, -10 speed, -99 health (On Willy talk: 150 energy, 50 friendship)								1	
Beanie	A warm hat with a pretty tight fit.		Tailoring		(winter:25 health, 25 energy)								1	
Archer's Cap	Fashionable whether you're an archer or not.		Cook every recipe.		2 speed, 2x weapon speed, 1.3x attack, -2 def, 45 Slingshot boost, (half health: -8 def)								1	
Arcane Hat	The type of cowboy hat worn by a wizard.		Monster Eradication Goal - Defeat 100 Mummies.		burglar ring,(On Caroline Talk: 50 friendship) (storm: 10 immunity, 3 speed) (fall and storm: autorevive, 8 attack)			Salem's Fallout					1	
Abigail's Bow	It's just like Abby's.		Purchase for  60 from Abigail's shop at the Desert Festival.		(On sebastion talk: 40 friendship)								1	
.... (Shiny Fish Exclusive)	....		Tailoring with Shiny Legend (Shiny Fish Exclusive)		3 speed, autorevive, parry boost, 35 sapping, 4x attack speed, 30 still healing								1	
Slime Mask (Boss Battles Exclusive)			Defeat Slime Boss (25%)		Slime Charmer Ring, 1 defense								1	
Gem Eyes(Boss Battles Exclusive)			Defeat Golem Boss (25%)		4 Purple Glow, 2 attack, 1.15x Combat xp								1	
Dust Helm (Boss Battles Exclusive)			Defeat Dust Amalgamation (25%)		2 attack, 1 defense, burglar ring								1	
Ghost Crown (Boss Battles Exclusive)			Defeat Living Crystal (25%)		2 attack, 1 speed, 20% dodge chance								1	
Crystal Helm (Boss Battles Exclusive)			Defeat Living Crystal (25%)		3 attack, -8 defense, debuff immunity								1	
Sisters Mask(Boss Battles Exclusive)			Defeat The Wise Sister (25%)		1 speed, Ice Rod, (Low Health: 1 speed)								1	
Dwarvern Warrior Helm (Boss Battles Exclusive)			Defeat The Dwarvern Warrior (25%)		4 Attack, 3 Defense, 3 Combat, Bombey(15) (While holding dwarf hammer: 2 speed)			Diggy Diggy					1	
Iridium Mask (Boss Battles Exclusive)			Defeat The Iridium Soldier (25%)		5 Attack, 5 Defense, Monster Musk, Mercenery, 15 Vampirism, (While Holding Infinity Blade: 2 speed)			Vigil Ascension					1	
White Chicken Mask	Exclusive to Passerby Cemetery				Loving rancher, pet animals, 25% popularity, (On talk: 30 friendship)									
Cat Hat	Exclusive to Passerby Cemetery				3 speed									
Turtle hat	Exclusive to Passerby Cemetery				15 defense									
CaveFlowerhairPiece	Exclusive to Passerby Cemetery				(Underground: 2 speed, 2 attack, 2 defense)									
Surveyer Hat	Exclusive to Nature In The Valley				1 speed, 2 foraging, Professional Forager									
Legendary Fish Masks	Exclusive to Sqtardew Aquarium				Each mask gives 1 speed and 5 fishing during the season caught, with mutant carp giving -25 popularity									
???	???		Interact with the monkey in the Volcano Caldera once you have achieved 100% Perfection.										0	
														101
Shirt Name	Description	Dyeable	How to Obtain/Info	Tailor Recipe	Effect			Set Bonus						
80's Shirt	A gnarly t-shirt that sits off the shoulder.	Yes		Cactus Fruit									0	
Antiquity Shirt	A shirt with an ancient pattern.	No		Chipped Amphora	3 defense, 4 immunity, sturdy ring								1	
Mystery Shirt	Made from the leftovers of a Mystery Box.	No	Mystery Boxes	N/A				Top Top Hat						
Aquamarine Shirt	An aquamarine shirt.	No	Can be chosen at character creation	Duck Mayonnaise									0	
Arcane Shirt	You can feel a certain power from this garment.	No		Galaxy Soul	6 Immunity, 1.65x crit damage (storm:40% dodge chance, 1.5x crit chance)			Salem's Fallout					1	
Backpack Shirt	A plain shirt with a canvas backpack.	Yes		Strange Capsule	(Weapon Dagger: (Underground: 8 speed), 0% crit chance, 0% crit damage, -150 defense, 2.5x weapon speed, ring: burglar ring)								1	
Banana Shirt	Consider this shirt, if you happen to love bananas.	No		Banana Pudding	Sapping(14),(island: 2 speed, 20 max energy)								1	
Bandana Shirt	A shirt with a bandana to keep your neck soft.	No		Jasper	3 defense, 15% dodge, Mercenery								1	
Bandana Shirt	A shirt with a bandana to shield your neck from harm.	No		Kyanite	3 defense, 15% dodge, Mercenery								1	
Bandana Shirt	A shirt with a bandana to keep your neck soft.	No		Fluorapatite	3 defense, 15% dodge, Mercenery								1	
Basic Pullover	It's a plain pullover.	Yes	A variant of the male version may be obtained from the Makeover Stall at the Desert Festival[3] - this variant has an effect	Fiber Wood	(Only soft edge variant!: 3 luck, -10 defense, fishing chest++)								1	
Belted Coat	A velvety black coat with a prominent belt.	No		Autumn's Bounty	(winter:40 health, 30 energy, 3 defense)								1	
Bikini Top	A summer staple.	Yes	Sleeveless	Rainbow Shell									0	
Black Leather Jacket	A cool jacket made of dark black leather.	No		Beer Mead Pale Ale Piña Colada Wine (any)	Tipsy, 7 attack								1	
Blacksmith Apron	Handed down from one generation to the next.	No		Fiddlehead Risotto	25% clint discount, 2 defense								1	
Blue Buttoned Vest	It's a blue shirt with dyeable sleeves.	Yes (sleeves only)		Octopus									0	
Blue Hoodie	A sporty blue pullover with a hood.	No		Frozen Geode									0	
Blue Long Vest	A long blue vest above a grey shirt.	No	Sleeveless	Bone Flute									0	
Bobo Shirt	A pink shirt featuring a strange-looking guy.	No		Strange Doll (yellow)									0	
Bomber Jacket	A thick, sturdy jacket worn by fighter pilots long ago.	No		Bomb Cherry Bomb Mega Bomb	Bombey 15, 20 slingshot power								1	
Bridal Shirt	A beautiful white top, perfect for a bride.	No		Ornamental Fan	2 Luck								1	
Brown Jacket	A nice, sturdy jacket made of brown material.	No	Can be chosen at character creation	Mudstone	2 mining								1	
Brown Overalls	It's hard to see the dirt stains on this one.	No		Hazelnut									0	
Brown Suit	It's a standard brown business suit.	No		Ancient Seed	Autowater, 2 farming								1	
Burger Shirt	Wear what you eat!	No		Survival Burger									0	
Button Down Shirt	A simple, clean shirt.	Yes		Fish Taco	1 speed, 2 attack, 1 defense, 25 max energy								1	
Camo Shirt	Helps you blend in with the surroundings.	No		Stir Fry	30% dodge chance, -7 defense, (On Kent Talk: 25 friendship, 35 stamina)								1	
Canvas Jacket	A brown jacket with a fleece lining.	No		Chewing Stick	(On Leah talk: 30 friendship)								1	
Captain's Uniform	The classic uniform of a ship's captain.	No		Anchor	fishing chest, 3 attack, 1.17 popularity								1	
Cardigan	A soft button-up cardigan sweater.	Yes		Large Egg									0	
Carp Shirt	A big carp head adorns the front.	No		Carp Surprise	(While holding carp: 100 attack)								1	
Caveman Shirt	A stone-age classic!	No	Sleeveless	Prehistoric Handaxe Prehistoric Tool	5 Attack								1	
Chef Coat	The traditional uniform of a head chef.	No		Escargot				Michelin Star					0	
Circuitboard Shirt	The shirt looks like an electronics circuitboard.	No		Rusty Cog	(On Maru Talk: 50 friendship, 100 gold)								1	
Classic Overalls	A farming classic.	No	Can be chosen at character creation	Complete Breakfast	BeeKeeper								1	
Classy Top	It feels like the softest velvet.	No		Helvite									0	
Collared Shirt	A shirt with a starchy white collar.	Yes		Green Algae White Algae									0	
Copper Breastplate	Decorative armor made from copper.	No		Copper Bar	1 defense, protective ring								1	
Cowboy Poncho	A legendary outfit from the old west.	Yes (but will have no effect unless corresponding asset is fixed manually or with a mod)		Prairie King arcade	1 speed, 50 Slingshot power, 1.17 popularity, (Farm: 3 still stamina regen), loving rancher			Prairie Friend					1	
Crab Cake Shirt	Pre-slathered with aioli for your enjoyment. Bon Appetit!	No		Crab Cakes	1.2x attack, 3 defense								1	
Crop Tank Top	A sleeveless shirt cut extra short on the bottom.	Yes	Sleeveless	Wheat									0	
Crop Top Shirt	A shirt cut extra short on the bottom.	Yes		Amaranth									0	
Dark Bandana Shirt	A dark shirt with a colorful bandana.	Yes (bandana)	Can be dropped by Haunted Skulls	Truffle Truffle Oil	Mercenery, 5 vampirism, 1.2x attack								1	
Dark Highlight Shirt	A dark shirt with bright highlights.	Yes (green portion only)	Can be dropped by Haunted Skulls	Life Elixir Monster Musk Oil of Garlic	Mercenery, 10 soul sapping, 1.3x crit chance								1	
Dark Jacket	A dark denim jacket lined with fleece.	No		Frozen Tear									0	
Dark Shirt	A dark colored shirt.	No	Can be chosen at character creation	Bat Wing									0	
Dark Striped Shirt	A dark shirt with colorful stripes.	Yes (stripes)		Tigerseye	Darkness, 1 speed, 2 attack								1	
Darkness Suit	A black suit top with a faded red pocket square.	No		Wilted Bouquet	15% krobus discount, (underground:2 speed)			No Will To Break					1	
Denim Jacket	A rugged jacket made from denim.	No		Field Snack									0	
Dirt Shirt	You'll fit right in on the farm!	No		Maple Bar	(On Haley talk: -500 friendship)								1	
Doll Shirt	A shirt featuring a strange ancient doll face.	No		Ancient Doll									0	
Excavator Shirt	Look sharp while digging for fossils.	No		Junimo Kart Arcade	depth scaling stats (25), ores from rocks								1	
Faded Denim Shirt	It's a denim shirt with a dusty, faded look.	No		Salmon									0	
Fake Muscles Shirt	You could hit the gym, or you could just wear this instead.	Yes		Muscle Remedy	5 attack (On Alex Talk: -200 g)								1	
Fancy Red Blouse	A bright red blouse adorned with shiny yellow buttons.	No	Can be chosen at character creation	Holly									0	
Fish Shirt	A shirt with a fish logo.	Yes (fish)		Bream Catfish Dorado Ghostfish Goby Rainbow Trout Sandfish Shad Sunfish Tiger Trout	1.2x fishing xp, 3 fishing								1	
Fishing Vest	Lots of pockets to store your tackle.	No		The Legend II	Fish pond commitment, bait produce(5), recycler, 2 fishing, (Farm: 2 fishing)			Running River					1	
Flames Shirt	Look cool with hot flames.	No		Spicy Eel	Burnt, 1.17 Popularity, 3 speed (Healthy: Spikey(15), 4 red glowing)								1	
Flannel Shirt	A nice thick button down shirt with a cross-hatch pattern. Perfect for cold winters.	Yes		Coffee Bean									0	
Fluffy Shirt	It's fuzzy.	No		Chicken Statue	(Farm: 6 combat) (Critical health and underground: 5 speed)			Squawk Sproud					1	
Fried Egg Shirt	Wake up, it's time for eggs.	No		Fried Egg	(6am-11am: 1 speed, 5 attack, 40 energy)								1	
Fringed Vest	A fringed brown vest over a sleeveless shirt.	Yes (shirt)	Sleeveless	Chowder	Ores from Rocks, 2 defense								1	
Gaudy Shirt	It's a therapeutic blue...	No		Blue Grass Starter	2 Foraging, 1.17 Popularity								1	
Ginger Overalls	The color scheme is inspired by ginger ale.	No		Ginger Ale	1 Luck, 1 attack (island:2 luck, 1 speed)								1	
Globby Shirt	It's got an indistinguishable glob pattern.	Yes		Aged Roe	Fish pond commitment, 4 combat								1	
Gold Breastplate	Decorative armor made from solid gold.	No		Gold Bar	3 defense, protective ring								1	
Gold Trimmed Shirt	A shirt with a gold trim.	Yes		Tea set	2x crit chance, 3x crit damage, Golden Spur								1	
Golden Shirt	It's a shiny golden shirt.	No		Dried Starfish	5 mining, Burglar ring, 1 white glowing								1	
Goodnight Shirt	A big baggy nightshirt with a detailed moon graphic.	No	Can be purchased from Maru at the Desert Festival.	Lunarite	(12am-2am: 4 speed)			Eclipse					1	
Gray Hoodie	A sporty gray pullover with a hood.	No		Geode									0	
Gray Suit	It's a custom-tailored gray suit.	No		Esperite	15% joja discount								1	
Gray Vest	A gray vest over a white shirt.	No		Quartz									0	
Green Belted Shirt	A green, belted shirt.	No	Can be chosen at character creation	Cave Carrot	1.15x mining xp								1	
Green Belted Shirt	A green shirt with a belt.	No		Malachite				Season of Luck					0	
Green Buttoned Vest	It's a green shirt with dyeable sleeves.	Yes (sleeves only)		Rhubarb Spice Berry									0	
Green Flannel Shirt	A flannel shirt with a green and brown pattern.	No		Super Meal									0	
Green Jacket	Inspired by the mallard's coat. The shirt can be dyed.	Yes (shirt)		Statue of Blessing	Professional Forager, Sapping(10), speed 1, slime charmer ring, 2 Foraging								1	
Green Overalls	A slightly less popular farming classic.	No	Can be chosen at character creation	Fiddlehead Fern	Professional Forager								1	
Green Thumb Shirt	It comes pre-rubbed with potting soil.	No		Jamborite	3 farming								1	
Green Tunic	A shirt fit for an adventurer.	No	Can be chosen at character creation	Ancient Sword	20% adventures guild discount, parry boost			Why Go Alone?					1	
Green Vest	A neat green vest over a shirt.	No	Can be chosen at character creation	Bean Hotpot	Ores from rocks								1	
Happy Shirt	It's the happiest shirt.	No		Lemon Stone	1.17 Popularity								1	
Heart Shirt	Wear your heart on your sleeves with this extra soft garment.	No	Can be chosen at character creation Randomly sold at the Oasis										0	
Heart Shirt	Wear your heart on your sleeves with this extra soft garment.	Yes (heart)	Non-dyeable version can be chosen at character creation	Strange Bun	50 health								1	
High Heat Shirt	The shirt almost looks like it's on fire!	No		Torch	Burnt, 2 speed, 7 attack, Spikey (5)								1	
